month,keyword,total_clicks,total_conversions,ranking_type,rank
2024-01,of,63947,25484,Clicks,1
2024-01,(disambiguation),51826,12310,Clicks,2
2024-01,list of,28414,6789,Clicks,3
2024-01,river,25264,6862,Clicks,4
2024-01,station,22520,6279,Clicks,5
2024-01,list,20868,3647,Clicks,6
2024-01,(album),18727,9449,Clicks,7
2024-01,in,17243,6566,Clicks,8
2024-01,james,17003,1509,Clicks,9
2024-01,sanguinic,15371,956,Clicks,10
2024-01,of,63947,25484,Conversions,1
2024-01,the,176,23824,Conversions,2
2024-01,(disambiguation),51826,12310,Conversions,3
2024-01,pc,8013,11362,Conversions,4
2024-01,(album),18727,9449,Conversions,5
2024-01,ciapin1,12542,8294,Conversions,6
2024-01,"lilligren,",282,7869,Conversions,7
2024-01,gregarius,6694,7732,Conversions,8
2024-01,the omegas,2876,7647,Conversions,9
2024-01,u-972,2388,7626,Conversions,10
2024-02,the,57921,17396,Clicks,1
2024-02,of,57205,20117,Clicks,2
2024-02,in,28180,4975,Clicks,3
2024-02,station,27622,6078,Clicks,4
2024-02,river,22958,4431,Clicks,5
2024-02,state,20864,3077,Clicks,6
2024-02,list of,18243,4050,Clicks,7
2024-02,(song),16781,2410,Clicks,8
2024-02,phenoxazine,14344,553,Clicks,9
2024-02,🎚,13762,4230,Clicks,10
2024-02,of,57205,20117,Conversions,1
2024-02,the,57921,17396,Conversions,2
2024-02,zalewajka,13213,13036,Conversions,3
2024-02,brad nowell,11893,10535,Conversions,4
2024-02,(disambiguation),11378,10112,Conversions,5
2024-02,aspenbach,11787,8923,Conversions,6
2024-02,"hertling,",216,8503,Conversions,7
2024-02,christian–jewish reconciliation,8367,7178,Conversions,8
2024-02,gare d'haussmann-saint-lazare,7470,7159,Conversions,9
2024-02,reconciliation,6547,7055,Conversions,10
2024-03,of,80163,24472,Clicks,1
2024-03,the,68846,15039,Clicks,2
2024-03,(disambiguation),51856,8739,Clicks,3
2024-03,list,30538,6564,Clicks,4
2024-03,river,29259,11836,Clicks,5
2024-03,station,28531,8468,Clicks,6
2024-03,(song),23291,4543,Clicks,7
2024-03,season,19023,2766,Clicks,8
2024-03,state,18370,2934,Clicks,9
2024-03,in,18207,10999,Clicks,10
2024-03,of,80163,24472,Conversions,1
2024-03,the,68846,15039,Conversions,2
2024-03,b.c.,3035,14683,Conversions,3
2024-03,peramatos,438,14667,Conversions,4
2024-03,lidell,3366,12017,Conversions,5
2024-03,kelli lidell,170,11907,Conversions,6
2024-03,river,29259,11836,Conversions,7
2024-03,in,18207,10999,Conversions,8
2024-03,station (illinois),6501,10646,Conversions,9
2024-03,malina moye,10588,10413,Conversions,10
